IND	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	POP	ModAnc
abh24.HO	0.0191	0.067	-0.0051	-0.0138	0.0107	-0.0088	-0.0014	0.0018	7e-04	0.005	Abkhasian	Modern
abh27.HO	0.0104	0.0656	0.0034	-0.0263	0.0094	-0.0041	9e-04	-0.0015	-0.0021	-0.0084	Abkhasian	Modern
abh41.HO	0.0098	0.0807	0.0116	-0.0236	0.0133	5e-04	0.0016	0.004	-0.0021	-0.0135	Abkhasian	Modern
abh107.HO	0.0126	0.0695	0.0017	-0.0201	0.0098	2e-04	-0.002	-0.004	2e-04	-0.012	Abkhasian	Modern
abh119.HO	0.0133	0.0686	5e-04	-0.021	0.0056	-0.0045	0.002	-0.0039	-4e-04	-0.0111	Abkhasian	Modern
abh122.HO	0.011	0.0602	0.0022	-0.02	0.0053	-0.0045	0.0047	7e-04	-0.002	-0.0043	Abkhasian	Modern
abh133.HO	0.012	0.0777	0.0022	-0.0235	2e-04	-0.0105	0.0017	9e-04	-0.0056	-0.0111	Abkhasian	Modern
abh147.HO	0.0121	0.0692	5e-04	-0.0216	0.007	-0.0101	0.0049	0.0017	0	-0.0025	Abkhasian	Modern
abh154.HO	0.0163	0.0654	-0.0015	-0.021	0.0049	-0.0094	0.0046	-0.0041	-0.0011	-0.0119	Abkhasian	Modern
HGDP01381.HO	-7e-04	0.0702	0.0176	-0.0058	-0.0018	5e-04	0.0087	-0.0011	-4e-04	-0.0076	Adygei	Modern
HGDP01382.HO	7e-04	0.0765	0.0225	-0.0127	0.002	0.0039	0.0081	-0.0013	-0.0066	-0.0066	Adygei	Modern
HGDP01383.HO	0.0021	0.0623	0.0114	-0.0182	0.0032	-0.0102	3e-04	-0.0011	-0.008	-0.0038	Adygei	Modern
HGDP01385.HO	6e-04	0.0622	0.0188	-0.0085	0.0057	-0.0012	0.0012	0.0056	-0.0039	-0.0051	Adygei	Modern
HGDP01386.HO	0.0026	0.0619	0.0048	-0.013	0.0022	0.0012	0.0071	-0.0068	0.0025	-0.0012	Adygei	Modern
HGDP01387.HO	0.0019	0.0636	0.0161	-0.0103	0.0016	-0.0072	0.0027	0.0043	-0.0122	-0.0102	Adygei	Modern
HGDP01396.HO	-0.0091	0.0506	0.025	-0.003	-0.0039	-0.0092	-0.0029	9e-04	-0.0024	-0.0051	Adygei	Modern
HGDP01397.HO	-6e-04	0.0639	0.0164	-0.0017	-4e-04	-0.0043	0.006	-0.0022	0.0034	-0.0076	Adygei	Modern
HGDP01398.HO	0.0061	0.068	0.0101	-0.0153	0.0048	-9e-04	-0.0018	-0.0011	-0.0061	-0.0056	Adygei	Modern
HGDP01399.HO	0.0034	0.0653	0.0097	-0.0086	0.008	-0.0056	-0.0024	-6e-04	-0.0074	-0.0085	Adygei	Modern
HGDP01400.HO	0.0037	0.065	0.0134	-0.0097	0.0024	1e-04	-3e-04	0.0103	-0.0054	-0.002	Adygei	Modern
HGDP01401.HO	0.0034	0.0654	0.0089	-0.0051	0.004	0.0069	0.0129	-0.0013	-0.0066	-0.0029	Adygei	Modern
HGDP01402.HO	-0.0026	0.0614	0.0056	-0.0104	0.0074	-0.0059	0.0042	-0.0095	-0.0025	-0.0064	Adygei	Modern
HGDP01403.HO	0.0019	0.0547	0.0111	-0.0125	0.0062	-0.0059	0.0041	-0.0055	-0.0021	-0.0021	Adygei	Modern
HGDP01404.HO	0.0058	0.0695	0.0199	-0.0047	0.0022	-0.0029	0.0022	-0.0036	-0.008	-0.0068	Adygei	Modern
NA13619.HO	0.0011	0.0786	0.0202	-0.0115	-0.0026	0.0053	0.0085	6e-04	-0.0075	-0.01	Adygei	Modern
NA13626.HO	0.0017	0.0671	0.019	-0.0079	0.0059	-0.0094	0.0046	-5e-04	-4e-04	-0.0023	Adygei	Modern
RISE507	-0.0297	0.0309	0.0438	0.0337	0.0048	0.0026	-0.0045	-0.0046	0.0076	3e-04	Afanasievo	Steppe
RISE508	-0.0323	0.0355	0.0395	0.0356	2e-04	-0.0022	9e-04	-0.004	0.0021	0.0033	Afanasievo	Steppe
