IND	Latitude	Longitude
RISE507	51.5	85.97
RISE508	51.5	85.97
RISE509	54.58	90.78
RISE510	54.58	90.78
RISE511	54.58	90.78
I0707	40.3	29.57
I0708	40.3	29.57
I0709	40.3	29.57
I0724	40.26	29.65
I0727	40.26	29.65
I0736	40.3	29.57
I0744	40.3	29.57
I0745	40.3	29.57
I0746	40.3	29.57
I1096	40.3	29.57
I1097	40.3	29.57
I1098	40.3	29.57
I1099	40.3	29.57
I1100	40.3	29.57
I1101	40.3	29.57
I1102	40.3	29.57
I1103	40.3	29.57
I1579	40.3	29.57
I1580	40.3	29.57
I1581	40.3	29.57
I1583	40.3	29.57
I1585	40.3	29.57
I0725	40.26	29.65
RISE500	53.46	85.45
RISE503	53.46	85.45
RISE505	53.46	85.45
RISE512	85.45	53.46
I0060	51.45	11.54
I0108	51.45	11.54
I0111	51.45	11.54
I0112	51.79	11.14
I0113	51.79	11.14
I0805	51.79	11.15
I0806	51.79	11.14
I1546	51.82	10.91
RISE559	48.33	10.9
RISE560	48.33	10.9
RISE562	48.66	12.71
RISE563	48.69	13.02
RISE564	48.69	13.02
RISE566	50.12	14.26
RISE568	50.19	14.16
RISE569	50.19	14.16
I0047	51.89	11.04
I0049	51.42	11.68
I0059	51.82	10.91
I0099	51.89	11.04
I0106	51.42	11.68
I0115	51.42	11.68
I0117	51.42	11.68
I0164	51.79	11.14
I0171	51.82	10.91
I0550	51.27	11.66
I0803	51.17	11.85
I0804	51.17	11.85
I1532	51.42	11.68
I1534	51.42	11.68
I1536	51.42	11.68
I1538	51.42	11.68
I1539	51.42	11.68
I1540	51.42	11.68
I1542	51.42	11.68
I1544	51.42	11.68
RISE00	59.41	27.03
RISE109	17.07	50.98
RISE150	16.96	50.92
RISE154	16.94	50.95
RISE431	52.14	16.54
RISE434	48.93	12.26
RISE435	48.93	12.26
RISE436	48.93	12.26
RISE446	50.01	10.18
RISE577	50.16	14.31
RISE586	48.8	17.02
RISE471	10.81	48.17
I0551	51.52	11.85
I0559	51.79	11.14
I0560	51.79	11.14
I0807	51.42	11.68
I1497	47.17	19.83
I0061	61.65	35.65
I0124	53.4	50.4
I0211	61.65	35.65
I1502	47.17	20.83
I1504	47.82	19.95
RISE247	47.33	18.96
RISE254	47.33	18.96
RISE349	46.36	20.99
RISE371	46.22	20.2
RISE373	46.22	20.2
RISE374	46.22	20.2
RISE479	47.34	18.9
RISE480	47.34	18.9
RISE483	47.34	18.9
RISE484	47.34	18.9
I0174	46.2	18.7
I0176	46.4	18.74
I1495	47.17	19.83
I1496	47.17	19.83
I1498	47.52	21.59
I1499	48.52	21.17
I1500	47.17	20.83
I1505	47.88	21.19
I1506	47.88	21.19
I1272	42.33	-3.5
I1276	42.33	-3.5
I1277	42.33	-3.5
I1280	42.33	-3.5
I1281	42.33	-3.5
I1282	42.33	-3.5
I1284	42.33	-3.5
I1300	42.33	-3.5
I1314	42.33	-3.5
I0409	42.5	0.5
I0405	41.25	-2.33
Iceman	46.78	10.83
I0022	48.78	9.18
I0026	48.78	9.18
I0046	51.89	11.04
I0048	51.89	11.04
I0057	51.89	11.04
I0659	51.89	11.04
I0795	51.27	11.66
I0797	51.28	11.65
I0821	51.9	11.05
Stuttgart	48.78	9.18
I0011	58.54	15.05
I0012	58.54	15.05
I0013	58.54	15.05
I0014	58.54	15.05
I0015	58.54	15.05
I0017	58.54	15.05
RISE175	13.6	55.4
RISE179	13.6	55.4
RISE210	14.1	56
RISE276	55.91	11.57
RISE47	56.97	9.55
RISE61	55.7	11.86
RISE71	56.68	10.03
RISE94	56.03	14.23
RISE97	55.56	13.06
RISE98	55.38	13.45
I0126	53.31	51.15
I0371	53.34	50.34
I0440	53.74	49.38
I0432	53.66	50.67
RISE486	45.26	10.38
RISE487	45.26	10.38
RISE489	45.26	10.38
RISE555	48.72	44.5
I0122	52.22	48.1
I0433	52.22	48.1
I0434	52.22	48.1
RISE386	52.45	55.16
RISE391	50.59	56.83
RISE392	53.88	59.08
RISE394	52.45	55.16
RISE395	52.64	59.54
I0232	48.1	54.44
I0234	53.14	50.01
I0235	53.14	50.01
I0358	53.03	50.39
I0359	53.03	50.39
I0360	53.03	50.39
I0361	53.03	50.39
I0424	53.12	48.37
I0430	53.08	50.36
I0431	53.08	50.36
I0354	53.03	50.39
I0585	42.91	-5.38
I1507	47.93	21.2
Loschbour	49.81	6.4
RISE240	46.58	43.68
RISE546	46.54	43.7
RISE547	46.54	43.7
RISE548	46.54	43.7
RISE550	46.56	43.68
RISE552	46.62	43.33
I0231	52.42	48.24
I0357	53.38	50.39
I0370	51.27	58.18
I0429	53.38	50.39
I0438	53.38	50.38
I0439	53.38	50.39
I0441	52.3	52.05
I0444	53.1	51.13
